code,E2004,E2005
S02000260,79.36062627,88.60686143
S02000261,36.49858385,40.65381496
S02000262,77.53269234,84.73435131
S02000263,59.39076937,64.31318686
S02000264,104.2315542,113.8860363
S02000265,45.24882914,49.33298625
S02000266,52.33852434,56.53732055
S02000267,56.21479602,61.69314028
S02000268,106.6325762,118.80689
S02000269,71.32910049,76.28474623
S02000270,104.7549338,112.9290018
S02000271,76.4863397,83.91203226
S02000272,79.7995131,82.55962188
S02000273,56.1078628,59.40197073
S02000274,54.2935652,58.48307358
S02000275,53.44710679,57.54220961
S02000276,78.0698113,85.84917595
S02000277,71.48322587,75.91529093
S02000278,45.55859535,50.31799843
S02000279,91.62577459,98.11378375
S02000280,64.71382067,70.14364786
S02000281,74.02475865,80.6383244
S02000282,64.17843694,71.48509546
S02000283,47.01443029,50.50853793
S02000284,59.65295617,64.20484455
S02000285,44.24790269,48.87747533
S02000286,68.13549435,74.01083715
S02000287,73.95628454,81.65206543
S02000310,82.45408627,89.57444463
S02000311,115.4007525,125.8701868
S02000312,52.15128769,56.69167805
S02000313,85.52388191,95.98953679
S02000314,94.94293789,104.091408
S02000316,65.19131494,70.726654
S02000317,98.24667747,106.2731273
S02000318,105.7065535,114.4136832
S02000319,49.78151524,54.56604956
S02000320,57.89898532,62.91279465
S02000321,91.8488282,100.4345626
S02000322,61.52882982,66.55743778
S02000323,66.79192074,73.60870128
S02000324,67.25083104,73.44200671
S02000325,95.72182912,102.7661624
S02000326,98.88327849,107.9152606
S02000327,78.59375487,85.31026201
S02000328,97.9957441,106.769251
S02000329,60.1311728,64.70009356
S02000584,62.51904315,65.6069516
S02000585,86.9525537,96.65795163
S02000586,43.84954432,47.87184988
S02000587,70.7485993,77.26517378
S02000588,57.81754695,64.92923696
S02000589,91.90673677,97.95462326
S02000590,44.58873037,49.0525454
S02000591,49.05694774,52.32489921
S02000592,73.6591059,80.54777803
S02000593,90.92814164,98.22942436
S02000594,60.38571992,63.91275448
S02000595,62.08229015,66.56428776
S02000596,89.41921234,97.18667505
S02000597,84.79675619,92.59046385
S02000598,64.05118612,68.33973268
S02000599,75.51217795,80.48047993
S02000600,67.6937331,73.21017945
S02000601,67.26150477,71.12296978
S02000602,98.23117795,107.1297199
S02000603,64.73845355,69.47530972
S02000604,56.71473327,62.3363078
S02000605,42.6062281,46.13724657
S02000606,60.14814147,64.90808866
S02000607,75.68678645,81.18918541
S02000608,80.37825289,93.67396565
S02000609,52.1592872,57.28790053
S02000610,108.8340125,114.8410171
S02000611,70.32046109,76.5141839
S02000612,98.15114207,106.8210384
S02000613,53.87030393,57.73939653
S02000614,73.6390754,81.8687415
S02000615,68.8722051,74.8970022
S02000616,76.00017894,85.42713958
S02000617,71.64979484,77.3437187
S02000618,75.61981049,83.15824651
S02000619,69.7057623,72.58997056
S02000620,90.93069592,96.5184982
S02000621,107.9164622,114.210767
S02000622,58.52546927,64.09213771
S02000623,66.7621755,73.00200275
S02000624,72.89287174,76.85496095
S02000625,64.41124124,69.00719098
