IG,Y2004,Y2005
S02000260,54,95
S02000261,16,13
S02000262,30,36
S02000263,29,34
S02000264,52,46
S02000265,16,36
S02000266,32,35
S02000267,25,22
S02000268,65,45
S02000269,34,40
S02000270,55,49
S02000271,40,36
S02000272,41,37
S02000273,20,30
S02000274,28,30
S02000275,28,40
S02000276,37,36
S02000277,58,94
S02000278,27,27
S02000279,42,35
S02000280,66,62
S02000281,62,50
S02000282,24,38
S02000283,57,48
S02000284,22,43
S02000285,8,19
S02000286,42,50
S02000287,41,42
S02000310,32,37
S02000311,42,42
S02000312,19,29
S02000313,49,75
S02000314,50,66
S02000316,23,22
S02000317,41,42
S02000318,37,50
S02000319,19,24
S02000320,25,49
S02000321,50,70
S02000322,60,45
S02000323,27,25
S02000324,41,48
S02000325,37,56
S02000326,40,47
S02000327,43,54
S02000328,65,81
S02000329,25,25
S02000584,52,59
S02000585,79,102
S02000586,25,54
S02000587,61,65
S02000588,65,79
S02000589,80,80
S02000590,47,45
S02000591,13,28
S02000592,70,75
S02000593,51,52
S02000594,27,52
S02000595,38,45
S02000596,52,72
S02000597,118,125
S02000598,39,46
S02000599,40,37
S02000600,36,46
S02000601,72,71
S02000602,75,73
S02000603,46,34
S02000604,23,34
S02000605,19,24
S02000606,55,64
S02000607,48,72
S02000608,68,66
S02000609,43,58
S02000610,119,105
S02000611,61,53
S02000612,64,69
S02000613,38,54
S02000614,51,68
S02000615,83,77
S02000616,67,91
S02000617,84,113
S02000618,71,76
S02000619,105,116
S02000620,89,104
S02000621,74,110
S02000622,45,68
S02000623,26,30
S02000624,39,64
S02000625,66,68
S02000626,73,85
S02000627,67,94
S02000628,90,98
S02000629,44,54
S02000630,63,69
S02000631,62,41
S02000632,106,104
S02000633,103,129
S02000634,70,65
S02000635,151,153
S02000636,40,66
S02000637,73,72
S02000638,101,111
S02000639,41,45
S02000640,99,113
S02000641,103,91
S02000642,74,79
S02000643,91,88
S02000644,52,52
S02000645,42,46
S02000646,52,73
S02000647,69,74
S02000648,90,121
S02000649,42,57
S02000650,40,49
S02000651,38,54
S02000652,83,78
S02000653,62,61
S02000654,136,111
S02000655,30,55
S02000656,117,116
S02000657,97,102
S02000658,162,173
S02000659,106,111
S02000660,112,133
S02000661,37,49
S02000662,59,94
S02000663,135,135
S02000664,41,61
S02000665,60,51
S02000666,111,152
S02000667,110,128
S02000668,37,31
S02000669,76,103
S02000670,54,62
S02000671,46,61
S02000672,32,40
S02000673,38,58
S02000674,51,77
S02000675,62,69
S02000676,70,89
S02000677,26,26
S02000678,88,86
S02000679,38,30
S02000680,78,92
S02000681,28,31
S02000682,27,25
S02000683,26,26
S02000684,67,80
S02000685,120,108
S02000686,64,53
S02000687,75,92
S02000688,68,113
S02000689,62,58
S02000690,67,52
S02000691,135,138
S02000692,171,181
S02000693,113,78
S02000694,78,82
S02000695,46,70
S02000696,39,63
S02000697,93,110
S02000698,54,47
S02000699,58,80
S02000700,50,80
S02000701,102,116
S02000702,49,48
S02000703,66,48
S02000704,61,83
S02000705,132,115
S02000706,80,80
S02000707,112,96
S02000708,74,76
S02000709,156,137
S02000710,79,75
S02000711,32,44
S02000712,73,80
S02000713,58,61
S02000714,89,105
S02000715,69,75
S02000716,55,65
S02000771,21,27
S02000772,55,62
S02000773,47,43
S02000774,72,76
S02000775,88,103
S02000776,76,86
S02000777,37,64
S02000778,81,83
S02000779,51,66
S02000780,73,92
S02000781,96,129
S02000782,76,94
S02000783,109,173
S02000784,69,76
S02000785,48,47
S02000786,47,52
S02000787,45,64
S02000923,70,58
S02000925,54,56
S02000926,45,62
S02000927,40,33
S02000983,29,43
S02000984,49,45
S02000985,62,68
S02000986,40,65
S02000987,68,85
S02000988,72,96
S02000989,44,30
S02000990,53,54
S02000991,85,87
S02000992,63,84
S02000993,45,38
S02000994,74,80
S02000995,65,78
S02000996,30,30
S02000997,79,77
S02000998,58,60
S02000999,63,53
S02001000,70,82
S02001001,47,80
S02001002,28,47
S02001003,102,120
S02001004,72,77
S02001005,76,66
S02001006,63,74
S02001007,93,106
S02001008,32,45
S02001009,24,30
S02001010,78,79
S02001011,93,95
S02001012,42,41
S02001013,52,75
S02001014,89,95
S02001015,51,51
S02001016,57,65
S02001017,44,55
S02001018,62,80
S02001019,60,90
S02001020,40,43
S02001146,56,65
S02001148,45,39
S02001149,100,67
S02001150,65,79
S02001152,45,60
S02001153,43,55
S02001154,32,31
S02001156,61,57
S02001157,48,55
S02001158,28,30
S02001159,49,67
S02001160,56,56
S02001161,52,83
S02001162,40,54
S02001184,65,87
S02001185,73,102
S02001186,113,119
S02001187,76,86
S02001188,101,110
S02001189,41,36
S02001190,50,68
S02001191,95,89
S02001192,70,85
S02001193,54,54
S02001194,39,51
S02001195,100,117
S02001196,67,76
S02001197,73,74
S02001198,64,79
S02001199,46,57
S02001200,78,93
S02001201,65,80
